Mountain,Filename,Total_Distance_km,Elevation_Gain_m,Min_Elevation_m,Max_Elevation_m,Average_Slope_%,Max_Slope_%,Estimated_Time_hrs,Start_Lat,Start_Lon,End_Lat,End_Lon,join_key,산이름,높이_m,소재지,봄추천,여름추천,가을추천,겨울추천,봄_포인트,여름_포인트,가을_포인트,겨울_포인트,단풍절정시기,기상청단풍확인,겨울난이도(★기준),입문자추천,케이블카·곤돌라,대중교통접근,메모,Score_Endurance,Score_Joint_Strain,Score_Total_Difficulty,PeakFit_Tags,Cluster_ID,Persona_Type,Persona_Tags
계룡산,계룡산_0000000005.gpx,3.34,668.0,184.0,642.0,31.52,331.1,0,36.357908,127.236841,36.362771,127.213909,계룡산,계룡산,845.0,대전·충남 공주·논산,O,O,O,X,진달래·벚꽃,계곡,단풍,-,-,O,★★☆,O,X,O,계룡시·공주 접근,19.1,15.2,17.2,#산책같은코스 #관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
계방산,계방산_0000000001.gpx,4.83,818.68,782.17,1600.85,19.19,191.44,0,37.691085,128.469273,37.728268,128.46543,계방산,계방산,1577.0,강원 평창·홍천,X,O,O,O,-,청정 자연,단풍,주목 설경,-,X,★★★,X,X,X,주목 군락 유명,24.7,9.5,17.1,#산책같은코스 #관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
계방산,계방산_0000000002.gpx,4.14,477.34,1114.93,1575.97,13.74,207.56,0,37.707455,128.444432,37.728333,128.465577,계방산,계방산,1577.0,강원 평창·홍천,X,O,O,O,-,청정 자연,단풍,주목 설경,-,X,★★★,X,X,X,주목 군락 유명,16.8,8.1,12.4,#산책같은코스 #관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
공작산,공작산_0000000001.gpx,8.47,614.53,321.52,922.95,17.37,441.49,0,37.685076,128.026234,37.696378,128.023368,공작산,공작산,887.0,강원 홍천,O,O,O,X,봄꽃,수타계곡,단풍,-,-,X,★☆☆,O,X,X,수타계곡 여름 최적,27.1,12.2,19.6,#산책같은코스 #관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
공작산,공작산_0000000002.gpx,13.1,813.47,189.89,908.33,15.82,460.65,0,37.732487,127.95444,37.685202,128.026177,공작산,공작산,887.0,강원 홍천,O,O,O,X,봄꽃,수타계곡,단풍,-,-,X,★☆☆,O,X,X,수타계곡 여름 최적,39.1,11.9,25.5,#관절보호,0,유형 C (풍경맛집/장거리),#케이블카찬스 #풍경맛집 #인생샷
공작산,공작산_0000000003.gpx,14.15,722.15,178.74,884.96,12.43,657.16,0,37.732512,127.954347,37.753756,128.000708,공작산,공작산,887.0,강원 홍천,O,O,O,X,봄꽃,수타계곡,단풍,-,-,X,★☆☆,O,X,X,수타계곡 여름 최적,39.2,13.4,26.3,#관절보호,0,유형 C (풍경맛집/장거리),#케이블카찬스 #풍경맛집 #인생샷
공작산,공작산_0000000004.gpx,6.92,427.18,199.9,588.98,15.21,390.42,0,37.694936,127.954867,37.697896,127.955353,공작산,공작산,887.0,강원 홍천,O,O,O,X,봄꽃,수타계곡,단풍,-,-,X,★☆☆,O,X,X,수타계곡 여름 최적,20.8,10.8,15.8,#산책같은코스 #관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
공작산,공작산_0000000005.gpx,8.73,542.86,290.05,832.7,22.36,3362.38,0,37.670535,127.999391,37.679267,127.998618,공작산,공작산,887.0,강원 홍천,O,O,O,X,봄꽃,수타계곡,단풍,-,-,X,★☆☆,O,X,X,수타계곡 여름 최적,26.2,51.6,38.9,#산책같은코스,2,유형 B (단기 성취감/땀샘폭발),#짧고굵게 #땀샘폭발 #애플워치링채우기
공작산,공작산_0000000006.gpx,13.13,644.57,196.74,910.66,16.21,386.94,0,37.685099,128.02618,37.739438,127.940584,공작산,공작산,887.0,강원 홍천,O,O,O,X,봄꽃,수타계곡,단풍,-,-,X,★☆☆,O,X,X,수타계곡 여름 최적,35.9,11.1,23.5,#관절보호,0,유형 C (풍경맛집/장거리),#케이블카찬스 #풍경맛집 #인생샷
공작산,공작산_0000000007.gpx,11.25,177.09,198.38,385.58,4.93,482.85,0,37.670578,127.999028,37.694984,127.954647,공작산,공작산,887.0,강원 홍천,O,O,O,X,봄꽃,수타계곡,단풍,-,-,X,★☆☆,O,X,X,수타계곡 여름 최적,23.6,8.8,16.2,#산책같은코스 #관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
공작산,공작산_0000000008.gpx,10.62,618.33,191.32,807.87,15.44,544.97,0,37.732642,127.954177,37.721837,127.987515,공작산,공작산,887.0,강원 홍천,O,O,O,X,봄꽃,수타계곡,단풍,-,-,X,★☆☆,O,X,X,수타계곡 여름 최적,31.0,12.9,22.0,#관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
공작산,공작산_0000000009.gpx,9.06,377.77,197.45,557.96,9.35,257.08,0,37.732563,127.954056,37.725676,127.965451,공작산,공작산,887.0,강원 홍천,O,O,O,X,봄꽃,수타계곡,단풍,-,-,X,★☆☆,O,X,X,수타계곡 여름 최적,23.6,7.3,15.4,#산책같은코스 #관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
공작산,공작산_0000000010.gpx,11.7,439.51,190.73,586.02,9.37,722.63,0,37.732536,127.954288,37.694903,127.954652,공작산,공작산,887.0,강원 홍천,O,O,O,X,봄꽃,수타계곡,단풍,-,-,X,★☆☆,O,X,X,수타계곡 여름 최적,29.5,13.3,21.4,#산책같은코스 #관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
관악산,관악산_0000000001.gpx,10.2,1559.94,64.47,643.93,39.93,1078.08,0,37.425484,126.989253,37.428234,126.991245,관악산,관악산,632.0,서울 관악·경기 안양·과천,O,O,O,X,봄꽃·벚꽃,계곡,단풍,-,-,X,★☆☆,O,X,O,지하철 2호선 접근,48.4,27.6,38.0,#관절보호,0,유형 C (풍경맛집/장거리),#케이블카찬스 #풍경맛집 #인생샷
관악산,관악산_0000000002.gpx,7.05,613.16,57.02,636.23,23.34,213.46,0,37.447211,126.949907,37.476015,126.981168,관악산,관악산,632.0,서울 관악·경기 안양·과천,O,O,O,X,봄꽃·벚꽃,계곡,단풍,-,-,X,★☆☆,O,X,O,지하철 2호선 접근,24.6,11.2,17.9,#산책같은코스 #관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
관악산,관악산_0000000003.gpx,11.76,1192.41,87.72,657.36,17.76,418.22,0,37.476163,126.971194,37.468352,126.94615,관악산,관악산,632.0,서울 관악·경기 안양·과천,O,O,O,X,봄꽃·벚꽃,계곡,단풍,-,-,X,★☆☆,O,X,O,지하철 2호선 접근,44.1,12.0,28.0,#관절보호,0,유형 C (풍경맛집/장거리),#케이블카찬스 #풍경맛집 #인생샷
